Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
Canada/Qc-L00240594/2020,GH,55,20C,Canada,Canada,Quebec,,EPI_ISL_465680,Human,A2a,Hôpital du Suroît,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240642/2020,GR,15,20B,Canada,Canada,Quebec,,EPI_ISL_465681,Human,A2a,Hôpital Charles-LeMoyne,B.1.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240652/2020,G,32,20A,Canada,Canada,Quebec,,EPI_ISL_450304,Human,A2a,Hôpital Charles-LeMoyne,B.1,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240666/2020,GH,61,20C,Canada,Canada,Quebec,,EPI_ISL_465682,Human,A2a,Hôpital Charles-LeMoyne,B.1.3,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240685/2020,G,72,20A,Canada,Canada,Quebec,,EPI_ISL_450305,Human,A2a,Hôpital Charles-LeMoyne,B.1,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240746/2020,GH,71,20C,Canada,Canada,Quebec,,EPI_ISL_465683,Human,A2a,Hôpital de Maria,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-26,Sandrine Moreira et al,,
Canada/Qc-L00240750/2020,GH,95,20C,Canada,Canada,Quebec,,EPI_ISL_465684,Human,A2a,Hôpital de Maria,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-26,Sandrine Moreira et al,,
Canada/Qc-L00240788/2020,GH,24,20C,Canada,Canada,Quebec,,EPI_ISL_465685,Human,A2a,CSSS Haut-Richelieu/Rouville (Hôpital),B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240796/2020,S,29,19B,Canada,Canada,Quebec,,EPI_ISL_465686,Human,B,Hôpital de Hull,A.3,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240804/2020,GH,56,20C,Canada,Canada,Quebec,,EPI_ISL_465687,Human,A2a,CSSS Haut-Richelieu/Rouville (Hôpital),B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240846/2020,G,74,20A,Canada,Canada,Quebec,,EPI_ISL_465688,Human,A2a,Centre hospitalier Anna-Laberge,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240851/2020,G,73,20A,Canada,Canada,Quebec,,EPI_ISL_465689,Human,A2a,Centre hospitalier Anna-Laberge,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240857/2020,GH,74,20A,Canada,Canada,Quebec,,EPI_ISL_450306,Human,A2a,CSSS Haut-Richelieu/Rouville (Hôpital),B.1,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240866/2020,GH,22,20C,Canada,Canada,Quebec,,EPI_ISL_465690,Human,A2a,Centre hospitalier Anna-Laberge,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240891/2020,GH,55,20C,Canada,Canada,Quebec,,EPI_ISL_465691,Human,A2a,Hôpital de Gatineau,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240893/2020,GH,49,20C,Canada,Canada,Quebec,,EPI_ISL_465692,Human,A2a,CSSS Haut-Richelieu/Rouville (Hôpital),B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240947/2020,G,64,20A,Canada,Canada,Quebec,,EPI_ISL_465693,Human,A2a,Hôpital du Suroît,B.1.5,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240954/2020,G,62,20A,Canada,Canada,Quebec,,EPI_ISL_450307,Human,A2a,Hôpital du Suroît,B.1.5,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00240979/2020,G,58,20A,Canada,Canada,Quebec,,EPI_ISL_450308,Human,A2a,Hôpital Charles-LeMoyne,B.1.5,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241007/2020,O,55,19A,Canada,Canada,Quebec,,EPI_ISL_465694,Human,A1a,Hôpital Charles-LeMoyne,B.2.2,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241026/2020,G,39,20A,Canada,Canada,Quebec,,EPI_ISL_450309,Human,A2a,Hôpital Pierre-Boucher,B.1,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241042/2020,V,20,19A,Canada,Canada,Quebec,,EPI_ISL_450310,Human,A1a,Hôpital Charles-LeMoyne,B.2.2,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241074/2020,GH,25,20C,Canada,Canada,Quebec,,EPI_ISL_465695,Human,A2a,Hôpital Pierre-Boucher,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241102/2020,GH,52,20C,Canada,Canada,Quebec,,EPI_ISL_465696,Human,A2a,Hôpital Pierre-Boucher,B.1.3,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241112/2020,GH,24,20C,Canada,Canada,Quebec,,EPI_ISL_465697,Human,A2a,Centre de santé Inuulitsivik,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-26,Sandrine Moreira et al,,
Canada/Qc-L00241115/2020,GH,41,20C,Canada,Canada,Quebec,,EPI_ISL_465698,Human,A2a,Hôpital Charles-LeMoyne,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241158/2020,GH,63,20C,Canada,Canada,Quebec,,EPI_ISL_465699,Human,A2a,Hôpital Charles-LeMoyne,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241168/2020,G,27,20A,Canada,Canada,Quebec,,EPI_ISL_450311,Human,A2a,Hôpital du Suroît,B.1,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241192/2020,GR,16,20B,Canada,Canada,Quebec,,EPI_ISL_450312,Human,A2a,Hôpital du Suroît,B.1.1,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241205/2020,G,50,20A,Canada,Canada,Quebec,,EPI_ISL_450313,Human,A2a,Hôpital du Suroît,B.1,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241208/2020,G,52,20A,Canada,Canada,Quebec,,EPI_ISL_450314,Human,A2a,Hôpital Pierre-Boucher,B.1,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241214/2020,G,67,20A,Canada,Canada,Quebec,,EPI_ISL_465700,Human,A2a,Hôpital Pierre-Boucher,B.1.5,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-23,Sandrine Moreira et al,,
Canada/Qc-L00241245/2020,G,63,20A,Canada,Canada,Quebec,,EPI_ISL_450315,Human,A2a,Hôpital Pierre-Boucher,B.1.5,Older,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241251/2020,G,48,20A,Canada,Canada,Quebec,,EPI_ISL_465701,Human,A2a,Hôpital du Suroît,B.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241292/2020,GH,24,20A,Canada,Canada,Quebec,,EPI_ISL_450316,Human,A2a,Hôpital Charles-LeMoyne,B.1,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241319/2020,GR,80,20B,Canada,Canada,Quebec,,EPI_ISL_465702,Human,A2a,Hôpital Pierre-Boucher,B.1.1,One week ago,North America,North America,Female,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241344/2020,S,72,19B,Canada,Canada,Quebec,,EPI_ISL_450317,Human,B,Hôpital Pierre-Boucher,A.5,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241349/2020,G,31,20A,Canada,Canada,Quebec,,EPI_ISL_465703,Human,A2a,Hôpital Pierre-Boucher,B.1,One week ago,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Canada/Qc-L00241355/2020,GH,47,20A,Canada,Canada,Quebec,,EPI_ISL_450318,Human,A2a,Hôpital Pierre-Boucher,B.1.13,Older,North America,North America,Male,Laboratoire de santé publique du Québec,,2020-03-27,Sandrine Moreira et al,,
Chile/Chillan_4/2020,GR,38,20B,South America,South America,South America,,EPI_ISL_445378,Human,A2a,HOSPITAL DE BULNES,B.1.1,Older,South America,South America,Male,Instituto de Salud Publica de Chile,,2020-04-04,Andrés E Castillo et al,,
Chile/Concepcion_1/2020,GR,42,20B,South America,South America,South America,,EPI_ISL_445281,Human,A2a,HOSPITAL CLINICO DEL SUR,B.1.1,Older,South America,South America,Female,Instituto de Salud Publica de Chile,,2020-03-17,Andrés E Castillo et al,,
Chile/Copiapo-00063/2020,GR,16,20B,South America,South America,South America,,EPI_ISL_468758,Human,A2a,"Laboratorio de Biologia Molecular, Facultad de Medicina, Universidad de Atacama",B.1.1,3-7 days ago,South America,South America,Female,"Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile",,2020-05-01,Gaete A et al,,
Chile/Copiapo-00064/2020,GR,50,20B,South America,South America,South America,,EPI_ISL_468759,Human,A2a,"Laboratorio de Biologia Molecular, Facultad de Medicina, Universidad de Atacama",B.1.1,3-7 days ago,South America,South America,Female,"Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile",,2020-05-01,Gaete A et al,,
Chile/Punta_Arenas_8/2020,GH,33,20A,South America,South America,South America,,EPI_ISL_445289,Human,A2a,HOSPITAL NAVAL PUERTO WILLIAMS,B.1,Older,South America,South America,Male,Instituto de Salud Publica de Chile,,2020-03-20,Andrés E Castillo et al,,
Chile/Santiago_43/2020,S,29,19B,South America,South America,South America,,EPI_ISL_445322,Human,B1,UNIV.DE CHILE HOSP.CLINICO,A.1,Older,South America,South America,Female,Instituto de Salud Publica de Chile,,2020-03-16,Andrés E Castillo et al,,
Chile/Santiago_55/2020,V,9,19A,South America,South America,South America,,EPI_ISL_445351,Human,A1a,HOSPITAL SAN JUAN DE DIOS,B.2.1,Older,South America,South America,Male,Instituto de Salud Publica de Chile,,2020-04-02,Andrés E Castillo et al,,
Chile/Santiago_56/2020,GR,65,20B,South America,South America,South America,,EPI_ISL_445352,Human,A2a,HOSPITAL DEL PROFESOR,B.1.1,Older,South America,South America,Male,Instituto de Salud Publica de Chile,,2020-04-01,Andrés E Castillo et al,,
Chile/Santiago_74/2020,GR,22,20B,South America,South America,South America,,EPI_ISL_445370,Human,A2a,HOSPITAL DE CARABINEROS,B.1.1,Older,South America,South America,Male,Instituto de Salud Publica de Chile,,2020-04-05,Andrés E Castillo et al,,
Chile/Temuco_6/2020,GH,70,20A,South America,South America,South America,,EPI_ISL_445341,Human,A2a,HOSPITAL DR.HERNAN HENRIQUEZ ARAVENA,B.1,Older,South America,South America,Female,Instituto de Salud Publica de Chile,,2020-03-23,Andrés E Castillo et al,,
Colombia/GVI-97718/2020,GH,32,20A,South America,South America,South America,,EPI_ISL_447800,Human,A2a,"Instituto Nacional de Salud, Bogotá, Colombia",B.1,Older,South America,South America,Male,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",,2020-04-04,Juan David Ramírez et al (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1),,
Colombia/GVI-98006/2020,GH,36,20C,South America,South America,South America,,EPI_ISL_447809,Human,A2a,"Instituto Nacional de Salud, Bogotá, Colombia",B.1,Older,South America,South America,Female,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",,2020-04-04,Juan David Ramírez et al (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1),,
Colombia/GVI-98011/2020,GH,36,20C,South America,South America,South America,,EPI_ISL_447810,Human,A2a,"Instituto Nacional de Salud, Bogotá, Colombia",B.1,Older,South America,South America,Female,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",,2020-04-05,Juan David Ramírez et al (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1),,
Colombia/GVI-98087/2020,GH,38,20A,South America,South America,South America,,EPI_ISL_447812,Human,A2a,"Instituto Nacional de Salud, Bogotá, Colombia",B.1,Older,South America,South America,Male,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",,2020-04-05,Juan David Ramírez et al (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1),,
Colombia/INS-79256/2020,S,,19B,South America,South America,South America,,EPI_ISL_417924,Human,B,Secretaría de Salud Medellín,A.5,Older,South America,South America,Male,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",,2020-03-11,Marcela Mercado-Reyes et al (https://dx.doi.org/10.1101/2020.06.02.20120782),,
Colombia/INS-79489/2020,S,65,19B,South America,South America,South America,,EPI_ISL_456123,Human,B1,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,A.1,One month ago,South America,South America,Male,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",,2020-03-12,Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782),,
Colombia/INS-80656/2020,G,49,20A,South America,South America,South America,,EPI_ISL_456126,Human,A2a,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,B.1.5,One month ago,South America,South America,Male,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",,2020-03-18,Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782),,
Colombia/INS-82457/2020,G,51,20A,South America,South America,South America,,EPI_ISL_456146,Human,A2a,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,B.1.5,One month ago,South America,South America,Male,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",,2020-03-20,Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782),,
CostaRica/01/2020,G,47,20A,Costa Rica,Costa Rica,Alajuela,,EPI_ISL_434533,Human,A2a,Area de Salud Alajuela Sur,B.1.5,Older,North America,North America,Male,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-16,Duarte et al,,San Rafael de Alajuela
CostaRica/02/2020,G,18,20A,Costa Rica,Costa Rica,Alajuela,,EPI_ISL_434535,Human,A2a,Area de Salud Alajuela Sur,B.1.5,Older,North America,North America,Male,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-16,Duarte et al,,San Rafael de Alajuela
CostaRica/03/2020,S,39,19B,Costa Rica,Costa Rica,Heredia,,EPI_ISL_434536,Human,B1,Hospital San Vicente de Paul,A.1,Older,North America,North America,Male,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-17,Duarte et al,,San Rafael Heredia
CostaRica/04/2020,GH,40,20C,Costa Rica,USA,Cartago CR,,EPI_ISL_434540,Human,A2a,EBAIS Concepción Norte,B.1,Older,North America,North America,Male,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-18,Duarte et al,New York,La Union
CostaRica/05/2020,GR,62,20B,Costa Rica,South America,San Jose,,EPI_ISL_434538,Human,A2a,COOPESAIN,B.1.1.1,Older,North America,South America,Male,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-20,Duarte et al,South America,Tibas
CostaRica/06/2020,G,25,20A,Costa Rica,Costa Rica,Alajuela,,EPI_ISL_434539,Human,A2a,Area de Salud Orotina,B.1,Older,North America,North America,Female,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",,2020-03-25,Duarte et al,,Orotina
CostaRica/CV-0007/2020,G,54,20A,Costa Rica,Costa Rica,San Jose,,EPI_ISL_458236,Human,A2a,Hospital Mexico,B.1,One month ago,North America,North America,Male,Charité Virology-University of Costa Rica,,2020-03-06,Andres Moreira-Soto et al,,
Croatia/1761_Dubrovnik/2020,O,58,19A,Europe,Europe,Europe,,EPI_ISL_454588,Human,,"University Hospital for Infectious Diseases ""Dr. Fran Mihaljević"", Research Unit",B,One month ago,Europe,Europe,Male,"University of Zagreb, Centre for research and knowledge transfer in biotechnology",,2020-03-20,Ivan-Christian Kurolt et al,,
Croatia/592_Osijek/2020,G,63,20A,Europe,Europe,Europe,,EPI_ISL_454578,Human,A2a,"University Hospital for Infectious Diseases ""Dr. Fran Mihaljević"", Research Unit",B.1.5,One month ago,Europe,Europe,Female,"University of Zagreb, Centre for research and knowledge transfer in biotechnology",,2020-03-13,Ivan-Christian Kurolt et al,,
Croatia/AU-S10new/2020,G,31,20A,Europe,Europe,Europe,,EPI_ISL_468656,Human,A2a,Institute for Public Health,B.1,3-7 days ago,Europe,Europe,Female,Laboratory for advanced genomics,,2020-04-09,Filip Rokić et al,,
Croatia/I7-S21new/2020,GH,60,20C,Europe,Europe,Europe,,EPI_ISL_454606,Human,A2a,Institute for Public Health,B.1,One month ago,Europe,Europe,Female,Laboratory for advanced genomics,,2020-03-30,Filip Rokić et al,,
Croatia/LG-S2new/2020,G,57,20A,Europe,Europe,Europe,,EPI_ISL_468591,Human,A2a,Institute for Public Health,B.1,3-7 days ago,Europe,Europe,Male,Laboratory for advanced genomics,,2020-04-10,Filip Rokić et al,,
Croatia/OY-S1new/2020,G,36,20A,Europe,Europe,Europe,,EPI_ISL_454574,Human,A2a,nstitute for Public Health,B.1,One month ago,Europe,Europe,Male,Laboratory for advanced genomics,,2020-04-09,Filip Rokić et al,,
Croatia/ZG-297-20/2020,GR,61,20B,Europe,Europe,Europe,,EPI_ISL_451934,Human,A2a,"Research Unit, University Hospital for Infectious Diseases ""Dr. Fran Mihaljević""",B.1.1.1,One month ago,Europe,Europe,Male,"Cicin Sain lab, Helmholtz Centre for Infection Research",,2020-03-05,Zeeshan Chaudhry et al,,
Cyprus/001/2020,GR,36,20B,Europe,Europe,Europe,,EPI_ISL_463741,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Female,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-03-11,Jan Richter et al,,
Cyprus/002/2020,GR,53,20B,Europe,Europe,Europe,,EPI_ISL_463742,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Male,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-03-22,Jan Richter et al,,
Cyprus/003/2020,GR,40,20B,Europe,Europe,Europe,,EPI_ISL_463743,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Female,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-03-25,Jan Richter et al,,
Cyprus/004/2020,GR,74,20B,Europe,Europe,Europe,,EPI_ISL_463744,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Male,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-03-23,Jan Richter et al,,
Cyprus/005/2020,GR,51,20B,Europe,Europe,Europe,,EPI_ISL_463745,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Female,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-04-01,Jan Richter et al,,
Cyprus/006/2020,GR,39,20B,Europe,Europe,Europe,,EPI_ISL_463746,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Female,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-04-11,Jan Richter et al,,
Cyprus/007/2020,G,33,20A,Europe,Europe,Europe,,EPI_ISL_463747,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1,One week ago,Europe,Europe,Male,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-04-17,Jan Richter et al,,
Cyprus/008/2020,GR,61,20B,Europe,Europe,Europe,,EPI_ISL_463748,Human,A2a,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",B.1.1,One week ago,Europe,Europe,Male,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",,2020-04-27,Jan Richter et al,,
CzechRepublic/2308/2020,GR,66,20B,Europe,Europe,Europe,,EPI_ISL_434572,Human,A2a,The National Institute of Public Health Center for Epidemiology and Microbiology,B.1.1,Older,Europe,Europe,Female,The National Institute of Public Health Center for Epidemiology and Microbiology,,2020-04-14,Alexander Nagy et al,,
CzechRepublic/ChVir1630/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_416742,Human,A2a,"NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic",B.1,Older,Europe,Europe,,"Charite Universitaetsmedizin Berlin, Institute of Virology",,2020-02-29,Victor M Corman et al B,,
CzechRepublic/IAB_14/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_426889,Human,A2a,Motol University Hospital,B.1.1,Older,Europe,Europe,,Institute of Applied Biotechnologies a.s.,,2020-04-02,Petr Brož et al,,
CzechRepublic/IAB_17/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_426892,Human,A2a,Motol University Hospital,B.1.1,Older,Europe,Europe,,Institute of Applied Biotechnologies a.s.,,2020-03-27,Petr Brož et al,,
CzechRepublic/IAB_21/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_426895,Human,A2a,Motol University Hospital,B.1,Older,Europe,Europe,,Institute of Applied Biotechnologies a.s.,,2020-03-27,Petr Brož et al,,
CzechRepublic/NRL_2615/2020,GR,66,20B,Europe,Europe,Europe,,EPI_ISL_437519,Human,A2a,The National Institute of Public Health Center for Epidemiology and Microbiology,B.1.1,Older,Europe,Europe,Male,The National Institute of Public Health Center for Epidemiology and Microbiology,,2020-03-16,Alexander Nagy et al,,
CzechRepublic/NRL_5186/2020,GR,48,20B,Europe,Europe,Europe,,EPI_ISL_471553,Human,A2a,The National Institute of Public Health,B.1.1,New,Europe,Europe,Male,State Veterinary Institute Prague and The National Institute of Public Health,,2020-03-17,Nagy et al,,
Denmark/ALAB-HH-139/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_452018,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-03-11,Rasmus Kirkegaard et al,,
Denmark/ALAB-HH-145/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_452024,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-03-11,Rasmus Kirkegaard et al,,
Denmark/ALAB-HH-163/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_452035,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1.1.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-04-14,Rasmus Kirkegaard et al,,
Denmark/ALAB-HH-219/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_452070,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-04-27,Rasmus Kirkegaard et al,,
Denmark/ALAB-HH-266/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_452097,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-05-09,Rasmus Kirkegaard et al,,
Denmark/ALAB-HH-267/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_452098,Human,A2a,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.",B.1,One month ago,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-05-09,Rasmus Kirkegaard et al,,
Denmark/ALAB-SSI-1126/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_436962,Human,A2a,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S",B.1,Older,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-04-02,Rasmus Kirkegaard et al,,
